temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
21.9,8.5,7.9,54.21,0.0,0.0,0.0,0.27,4.55,36.4,15.5,301.0,999.0,100.0,9.9,6.021444051556975,0.0,0.0,0.0
21.0,5.8,6.9,54.03,0.0,0.0,0.0,0.27,4.81,35.3,19.4,292.0,999.6,97.5,9.9,6.021672179765028,0.0,0.0,0.0
19.1,4.4,4.7,52.86,0.0,0.0,0.0,0.27,5.08,33.5,16.8,290.0,1000.1,72.8,9.6,6.021900307973081,0.0,0.0,0.0
17.2,1.5,3.0,52.92,0.0,0.0,0.0,0.27,5.35,33.8,17.6,288.0,1000.9,82.6,9.7,6.022128436181133,0.0,0.0,0.0
15.4,-0.9,2.4,55.83,0.0,0.0,0.0,0.27,5.62,31.2,17.7,282.0,1002.0,10.5,9.9,6.022356564389186,0.0,0.0,0.0
14.1,-3.3,0.6,54.38,0.0,0.0,0.0,0.27,5.89,34.5,19.5,282.0,1002.7,10.5,9.9,6.022584692597239,0.0,0.0,0.0
12.9,-4.4,-1.2,52.59,0.0,0.0,0.0,0.27,6.16,34.1,18.6,290.0,1003.4,10.5,9.9,6.022812820805292,0.0,0.0,0.0
12.0,-8.5,-2.3,51.92,0.0,0.0,0.0,0.27,6.43,32.7,26.3,286.0,1004.7,10.5,9.9,6.023040949013345,0.0,0.0,0.0
11.1,-6.6,-2.7,53.05,0.0,0.0,0.0,0.27,6.69,29.3,18.1,285.0,1006.4,10.5,9.9,6.023269077221398,0.0,0.0,0.0
10.1,-6.8,-4.3,51.22,1.35,0.0,0.0,0.27,6.96,31.7,15.7,295.0,1007.1,10.5,9.9,6.023497205429451,0.0,0.0,0.0
9.4,-8.6,-5.1,50.99,0.0,0.0,0.0,0.27,7.23,31.3,17.5,274.0,1007.7,10.5,9.9,6.023725333637504,0.0,0.0,0.0
9.6,-7.3,-5.3,49.97,0.0,0.0,0.0,0.0,7.19,31.7,15.5,288.0,1008.6,10.5,9.9,6.023953461845557,0.0,0.0,0.0
11.4,-6.1,-5.1,46.77,0.0,0.0,0.0,0.0,7.16,30.0,17.8,284.0,1009.4,10.5,9.9,6.02418159005361,0.0,0.0,0.0
12.3,-5.2,-5.8,43.39,0.0,0.0,0.0,0.0,7.13,32.7,18.3,288.0,1010.0,10.5,9.9,6.024409718261663,0.0,0.0,0.0
13.7,-3.2,-5.4,41.41,0.0,0.0,0.0,0.0,7.11,30.3,18.1,284.0,1009.8,10.5,9.9,6.024637846469716,0.0,0.0,0.0
14.8,-3.1,-5.2,40.0,0.0,0.0,0.0,0.0,7.08,32.9,21.3,284.0,1010.0,10.5,9.9,6.024865974677769,0.0,0.0,0.0
15.7,-0.3,-5.9,37.22,0.0,0.0,0.0,0.0,7.05,32.2,17.2,288.0,1010.4,27.1,9.9,6.025094102885822,0.0,0.0,0.0
15.9,-1.6,-6.8,35.36,0.0,0.0,0.0,0.0,7.03,34.1,21.4,290.0,1011.0,10.5,9.9,6.025322231093875,0.0,0.0,0.0
16.5,1.8,-6.4,35.18,0.0,0.0,0.0,0.0,7.0,29.9,14.8,297.0,1011.8,10.5,9.9,6.025550359301928,0.0,0.0,0.0
15.5,0.9,-6.6,36.21,0.0,0.0,0.0,0.0,6.97,22.3,14.1,287.0,1012.6,10.5,9.9,6.025778487509981,0.0,0.0,0.0
14.8,1.1,-6.4,37.72,0.0,0.0,0.0,0.0,6.94,24.0,12.0,289.0,1013.7,10.5,9.9,6.026006615718034,0.0,0.0,0.0
14.4,-1.6,-7.5,36.33,0.0,0.0,0.0,0.0,6.92,29.3,16.5,287.0,1014.7,10.5,9.9,6.026234743926087,0.0,0.0,0.0
13.4,-4.2,-8.4,36.44,0.0,0.0,0.0,0.0,6.89,31.6,19.3,286.0,1015.1,65.2,9.9,6.02646287213414,0.0,0.0,0.0
12.1,-4.5,-8.3,38.64,0.0,0.0,0.0,0.0,6.86,29.6,16.3,282.0,1015.9,10.5,9.9,6.0266910003421925,0.0,0.0,0.0
11.4,-6.1,-8.1,40.25,0.0,0.0,0.0,0.0,6.84,29.8,17.9,290.0,1016.6,10.5,9.9,6.0269191285502455,0.0,0.0,0.0
11.1,-5.4,-9.1,38.87,0.0,0.0,0.0,0.0,6.81,30.0,15.3,284.0,1017.6,10.5,9.9,6.027147256758298,0.0,0.0,0.0
10.3,-5.74,-8.6,41.31,0.0,0.0,0.0,0.0,6.78,26.2,13.1,290.0,1018.4,10.5,9.9,6.027375384966351,0.0,0.0,0.0
10.3,-6.08,-8.6,41.31,0.0,0.0,0.0,0.0,6.76,30.2,14.6,291.0,1018.4,0.0,9.9,6.027603513174404,0.0,0.0,0.0
