Time Stamp,Time Zone,Name,PTID,Load
2020-10-20 15:00:00,EDT,MILLWD,61759,336.9255
2020-10-20 15:00:00,EDT,MHK VL,61756,894.1122
2020-10-20 15:00:00,EDT,DUNWOD,61760,625.1101
2020-10-20 15:00:00,EDT,HUD VL,61758,966.3538
2020-10-20 15:00:00,EDT,GENESE,61753,1130.8292
2020-10-20 15:00:00,EDT,CENTRL,61754,1790.2067
2020-10-20 15:00:00,EDT,CAPITL,61757,1383.7117
2020-10-20 15:00:00,EDT,LONGIL,61762,2177.7375
2020-10-20 16:00:00,EDT,MILLWD,61759,336.3012
2020-10-20 16:00:00,EDT,WEST,61752,1639.4941
2020-10-20 16:00:00,EDT,NORTH,61755,552.0408
2020-10-20 16:00:00,EDT,N.Y.C.,61761,5741.811
2020-10-20 16:00:00,EDT,MHK VL,61756,895.2777
2020-10-20 16:00:00,EDT,HUD VL,61758,1024.8556
2020-10-20 16:00:00,EDT,GENESE,61753,1128.4216
2020-10-20 16:00:00,EDT,DUNWOD,61760,618.0133
2020-10-20 16:00:00,EDT,CENTRL,61754,1772.7854
2020-10-20 16:00:00,EDT,CAPITL,61757,1414.1808
2020-10-20 16:00:00,EDT,LONGIL,61762,2189.1675
2020-10-20 17:00:00,EDT,MILLWD,61759,330.4952
2020-10-20 17:00:00,EDT,WEST,61752,1628.874
2020-10-20 17:00:00,EDT,NORTH,61755,559.3063
2020-10-20 17:00:00,EDT,N.Y.C.,61761,5762.6133
2020-10-20 17:00:00,EDT,MHK VL,61756,905.8574
2020-10-20 17:00:00,EDT,HUD VL,61758,1036.4086
2020-10-20 17:00:00,EDT,GENESE,61753,1142.4882
2020-10-20 17:00:00,EDT,DUNWOD,61760,626.5016
2020-10-20 17:00:00,EDT,CENTRL,61754,1820.2601
2020-10-20 17:00:00,EDT,CAPITL,61757,1456.4463
2020-10-20 17:00:00,EDT,LONGIL,61762,2292.8137
2020-10-20 18:00:00,EDT,MHK VL,61756,919.6688
2020-10-20 18:00:00,EDT,N.Y.C.,61761,5727.96
2020-10-20 18:00:00,EDT,MILLWD,61759,360.4997
2020-10-20 18:00:00,EDT,LONGIL,61762,2389.5837
2020-10-20 18:00:00,EDT,NORTH,61755,572.1828
2020-10-20 18:00:00,EDT,GENESE,61753,1166.993
2020-10-20 18:00:00,EDT,CENTRL,61754,1875.2974
2020-10-20 18:00:00,EDT,CAPITL,61757,1501.3691
2020-10-20 18:00:00,EDT,HUD VL,61758,1088.614
2020-10-20 18:00:00,EDT,WEST,61752,1659.2703
2020-10-20 18:00:00,EDT,DUNWOD,61760,649.1876
2020-10-20 19:00:00,EDT,CAPITL,61757,1485.5468
2020-10-20 19:00:00,EDT,WEST,61752,1693.8533
2020-10-20 19:00:00,EDT,NORTH,61755,576.012
2020-10-20 19:00:00,EDT,N.Y.C.,61761,5667.251
2020-10-20 19:00:00,EDT,MILLWD,61759,384.6679
2020-10-20 19:00:00,EDT,CENTRL,61754,1862.3976
2020-10-20 19:00:00,EDT,LONGIL,61762,2478.4265
2020-10-20 19:00:00,EDT,HUD VL,61758,1149.5498
2020-10-20 19:00:00,EDT,GENESE,61753,1183.4407
2020-10-20 19:00:00,EDT,MHK VL,61756,944.7198
2020-10-20 19:00:00,EDT,DUNWOD,61760,653.452
2020-10-20 20:00:00,EDT,NORTH,61755,571.3716
2020-10-20 20:00:00,EDT,N.Y.C.,61761,5507.7866
2020-10-20 20:00:00,EDT,MHK VL,61756,919.6044
2020-10-20 20:00:00,EDT,LONGIL,61762,2396.298
2020-10-20 20:00:00,EDT,WEST,61752,1674.7568
2020-10-20 20:00:00,EDT,GENESE,61753,1142.6282
2020-10-20 20:00:00,EDT,HUD VL,61758,1087.9691
2020-10-20 20:00:00,EDT,CAPITL,61757,1429.9629
2020-10-20 20:00:00,EDT,MILLWD,61759,366.9127
2020-10-20 20:00:00,EDT,CENTRL,61754,1796.0568
2020-10-20 20:00:00,EDT,DUNWOD,61760,643.3242
2020-10-20 21:00:00,EDT,MHK VL,61756,864.9141
2020-10-20 21:00:00,EDT,WEST,61752,1684.4233
2020-10-20 21:00:00,EDT,NORTH,61755,565.3558
2020-10-20 21:00:00,EDT,N.Y.C.,61761,5309.041
2020-10-20 21:00:00,EDT,MILLWD,61759,327.3451
2020-10-20 21:00:00,EDT,HUD VL,61758,1041.7867
2020-10-20 21:00:00,EDT,GENESE,61753,1086.1129
2020-10-20 21:00:00,EDT,DUNWOD,61760,620.3579
2020-10-20 21:00:00,EDT,CENTRL,61754,1729.6864
2020-10-20 21:00:00,EDT,CAPITL,61757,1357.9783
2020-10-20 21:00:00,EDT,LONGIL,61762,2248.713
2020-10-20 22:00:00,EDT,WEST,61752,1614.7445
2020-10-20 22:00:00,EDT,NORTH,61755,545.3143
2020-10-20 22:00:00,EDT,N.Y.C.,61761,5049.421
2020-10-20 22:00:00,EDT,MILLWD,61759,305.9014
2020-10-20 22:00:00,EDT,MHK VL,61756,813.8906
2020-10-20 22:00:00,EDT,HUD VL,61758,978.4671
2020-10-20 22:00:00,EDT,GENESE,61753,1025.5872
2020-10-20 22:00:00,EDT,DUNWOD,61760,567.9959
2020-10-20 22:00:00,EDT,CENTRL,61754,1621.7277
2020-10-20 22:00:00,EDT,CAPITL,61757,1284.5103
2020-10-20 22:00:00,EDT,LONGIL,61762,2095.3013
2020-10-20 23:00:00,EDT,WEST,61752,1524.3408
2020-10-20 23:00:00,EDT,NORTH,61755,528.203
2020-10-20 23:00:00,EDT,N.Y.C.,61761,4718.358
2020-10-20 23:00:00,EDT,MILLWD,61759,270.8846
2020-10-20 23:00:00,EDT,MHK VL,61756,770.1672
2020-10-20 23:00:00,EDT,LONGIL,61762,1892.9862
2020-10-20 23:00:00,EDT,HUD VL,61758,904.775
2020-10-20 23:00:00,EDT,GENESE,61753,957.3605
2020-10-20 23:00:00,EDT,DUNWOD,61760,533.339
2020-10-20 23:00:00,EDT,CENTRL,61754,1533.5642
2020-10-20 23:00:00,EDT,CAPITL,61757,1206.2277
2020-10-21 00:00:00,EDT,NORTH,61755,522.0567
2020-10-21 00:00:00,EDT,WEST,61752,1481.7941
2020-10-21 00:00:00,EDT,N.Y.C.,61761,4436.8877
2020-10-21 00:00:00,EDT,MILLWD,61759,253.8133
2020-10-21 00:00:00,EDT,MHK VL,61756,738.59
2020-10-21 00:00:00,EDT,LONGIL,61762,1747.6375
2020-10-21 00:00:00,EDT,CAPITL,61757,1143.1433
